"PositionTitle","Name","Organization"
"Advance Scouting Assistant","JT Watkins","redsox"
"Special Assistant - Player Personnel","Mark Wasinger","redsox"
"Special Assignment Scouts","Eddie Bane - Steve Peck - Brad Sloan","redsox"
"Global Crosschecker","Paul Fryer","redsox"
"National Crosschecker","John Booher","redsox"
"National Scouting Supervisors","Quincy Boyd - Fred Petersen - Dan Madsen - Jim Robinson","redsox"
"Florida Crosschecker","Tom Kotchman","redsox"
"Director - Team Travel","Kevin Buck","orioles"
"Manager - Major League Video Operations","Mike Silverman","orioles"
"Manager - Advance Scouting Operations","Bill Wilkes","orioles"
"Coordinator - Major League Video/Advance Scouting","Ben Sussman-Hyde","orioles"
"Major League Video/Advance Scouting Assistant","Ryan Klimek","orioles"
"Baseball Operations Assistant","Chad Tatum","orioles"
"Special Assistant to Baseball Operations","Michael Cuddyer","twins"
"Special Assistant to Baseball Operations","LaTroy Hawkins","twins"
"Special Assistant to Baseball Operations","Torii Hunter","twins"
"Special Assistant to Baseball Operations","Justin Morneau","twins"
"Director - Baseball Operations","Daniel Adler","twins"
"Director - Professional Scouting","Brad Steil","twins"
"Director - Minor League Operations","Jeremy Zoll","twins"
"Director - Baseball Video and Technology","Sean Harlin","twins"
"Director - Baseball Administration","Kate Townley","twins"
"Director - Scouting","Sean Johnson","twins"
"Director - Team Travel","Mike Herman","twins"
"Senior Advisor - Scouting","Deron Johnson","twins"
"Assistant Director - Player Development","Alex Hassan","twins"
"Assistant Director - Baseball Operations","Nick Beauchamp","twins"
"Analyst - Player Development","Rachel Heacock","twins"
"Minor League Field Coordinator "," Edgar Varela","twins"
"Pro Scouting Coordinator","Vern Followell","twins"
"Senior Manager - International Administration and Education","Amanda Daley","twins"
"Senior Manager - Minor League Operations","Brian Maloney","twins"
"Manager - Florida Operations","Victor Gonzalez","twins"
"Assistant Manager - Florida Operations","Jason Davila","twins"
"Coordinator - Amateur Scouting","Brittany Minder","twins"
"Coordinator - Major League Video","David Jeffrey","twins"
"Coordinator - Amateur Scouting R&D","Ezra Wise","twins"
"Coordinator - Professional Scouting R&D","Zane MacPhee","twins"
"Assistant - Florida and Latin American Operations","Rafael Yanez","twins"
"Assistant - Florida Operations "," Brad McKenney","twins"
"Advance Scout","Frankie Padulo","twins"
"Analyst - Advance Scouting","Josh Ruffin ","twins"
"Assistant Advance Scout/Replay Coordinator","Corey Baker","twins"
"Senior Analyst - Baseball Research and Development","Josh Kalk","twins"
"Analyst - Baseball Research","Heather Hunt","twins"
"Analyst - Baseball Research","Andrew Ettel","twins"
"Analyst - Baseball Research","Kevin Wright","twins"
"Senior Vice President - Baseball Operations/General Manager","Dayton Moore","royals"
"Vice President/Assistant General Manager of Major League and International Operations","Rene Francisco","royals"
"Vice President/Assistant General Manager of Player Personnel","J.J. Picollo","royals"
"Vice President/Assistant General Manager","Scott Sharp","royals"
"Senior Advisor to the General Manager/Scouting & Player Development","Mike Arbuckle","royals"
"Special Assistant to the General Manager/Infield Coordinator","Rafael Belliard","royals"
"Special Assistant to Baseball Operations","Blaine Boyer ","royals"
"Senior Coordinator/Player Development","Chino Cadahia","royals"
"Director - Professional Scouting","Michael Cifuentes","royals"
"Special Assistant to the General Manager","Tim Conroy","royals"
"Coordinator - Pacific Rim","Phil Dale","royals"
"Director - Professional Development","Jeff Diskin ","royals"
"Coordinator - Sports Science","Austin Driggers","royals"
"Coordinator - Latin American Scouting","Orlando Estevez","royals"
"Special Assistant to the General Manager","Jim Fregosi - Jr.","royals"
"Assistant General Manager/Amateur Scouting","Lonnie Goldberg","royals"
"Assistant General Manager/International Operations","Albert Gonzalez","royals"
"Special Assistant to the General Manager","Pat Jones","royals"
"Baseball Operations Coordinator","Kevin Kuntz","royals"
"Senior Advisor to the General Manager/Baseball Operations","Gene Lamont","royals"
"Manager - Arizona Operations","Nick Leto","royals"
"Assistant to Baseball Operations/Administration","Kristin Lock","royals"
"Assistant General Manager/Research & Development","Dr. Daniel Mack","royals"
"Director - Behavioral Science","Ryan Maid","royals"
"Director - Leadership Development","Matt Marasco","royals"
"Special Advisor to Player Development","Mike Matheny ","royals"
"Special Assistant to the General Manager/Player Personnel","Luis Medina","royals"
"Coordinator of Scouting Operations","Jack Monahan","royals"
"Assistant Director of Scouting","Danny Ontiveros","royals"
"Supervisor Regional Scouting","Marshall Buddy Gouldsmith ","royals"
"Executive Assistant to the General Manager","Emily Penning","royals"
"Assistant to Player Development/Video Coordinator","Nick Relic","royals"
"Developer - Baseball Systems","Joseph San Diego","royals"
"Special Assistant to Baseball Operations","Reggie Sanders","royals"
"Analyst - Research & Development/Performance Science","Pravin Santhanam ","royals"
"Analyst - Research & Development/Player Development","Daniel Schoenfeld ","royals"
"Developer - Baseball Systems","Jennifer Segelke","royals"
"Sr. Director - Research & Development/Strategy","Guy Stevens","royals"
"Senior Advisor to the General Manager","Art Stewart","royals"
"Special Assistant to Baseball Operations","Mike Sweeney","royals"
"Sr. Developer - Baseball Systems","Paul Turner","royals"
"Senior Director - Baseball Operations/Administration","Kyle Vena","royals"
"Senior Director - Professional Scouting/Assistant to the General Manager","Gene Watson","royals"
"Senior Advisor to the General Manager","Donnie Williams","royals"
"Senior Director - Quantitative Analysis/Player Personnel","John Williams","royals"
"Assistant General Manager/Baseball Administration","Jin Wong","royals"
"Director - Baseball Operations/Player Development & Scouting","Alec Zumwalt","royals"
"Vice President - Assistant General Manager","David Chadd","tigers"
"Vice President - Player Personnel","Scott Bream","tigers"
