"PositionTitle","Name","Organization"
"Baseball Systems Developer","Joe Delia","reds"
"Data Engineer - Baseball Systems","Bryce Dugar","reds"
"Manager of Baseball Analytics","Michael Schatz","reds"
"Data Scientist","Nick Wan","reds"
"Data Scientist","Kevin Corby","reds"
"Data Scientist","Stuart Wallace","reds"
"Major League Analyst","James Brand","reds"
"Player Development Analyst","Harris Kingsley","reds"
"Baseball Analytics Developer","Samantha Rack","reds"
"Coordinator - Baseball Analytics","Melissa Booker","reds"
"Manager of Advance Scouting","Bo Thompson","reds"
"Baseball Ops. Assistant & Spanish Translator","Julio Morillo","reds"
"Director of Professional Scouting","Rob Coughlin","reds"
"Special Assistant to the GM - Player Personnel","Terry Reynolds","reds"
"Special Assistant to the GM - Player Personnel","Cam Bonifay","reds"
"Special Assistant to the General Manager","J Harrison","reds"
"Special Assistant to the General Manager","Marty Maier","reds"
"Special Assistant to the General Manager","John Morris","reds"
"Special Assistant to the General Manager","Jeff Schugel","reds"
"Professional Scout","Gary Glover ","reds"
"Professional Scout","Joe Jocketty","reds"
"Professional Scout","Bruce Manno","reds"
"Professional Scout","Mick Mattaliano","reds"
"Professional Scout","Jeff Morris","reds"
"Professional Scout","Steve Roadcap","reds"
"Manager - Pacific Rim Scouting","Rob Fidler","reds"
"Scout - Pacific Rim","Jamey Storvick","reds"
"Director of Amateur Scouting ","Brad Meador ","reds"
"Director of International Scouting ","Trey Hendricks ","reds"
"Assistant Director of Amateur Scouting","Paul Pierson","reds"
"Assistant Director of Amateur Scouting","Joe Katuska","reds"
"Director of Latin American Scouting","Richard Jimenez","reds"
"Assistant Director of International Scouting","Greg McMillin","reds"
"Vice President of Player Development","Shawn Pender ","reds"
"Senior Director of Player Development","Eric Lee","reds"
"Special Assistant - Player Performance","Eric Davis","reds"
"Special Assistant to Player Development","Bill Doran","reds"
"Special Assistant - Player Performance","Barry Larkin","reds"
"Special Assistant - Player Performance","Mario Soto","reds"
"Director of Minor League Athletic Training","Patrick Serbus","reds"
"Director of Minor League Physical Therapy","Brad Epstein","reds"
"Coordinator of Baseball Administration","Melissa Hill","reds"
"Coordinator of Player Development","Mark Heil","reds"
"Coordinator of Minor League Wellness","Becky Schnakenberg ","reds"
"Coordinator - Minor League Nutrition","Ashley Meuser ","reds"
"Medical Administrator","Erika Sperl","reds"
"Player Development Assistant"," Charlie Rodriguez ","reds"
"Field Coordinator","Chris Tremie ","reds"
"Hitting Coordinator","Milt Thompson","reds"
"Pitching Coordinator","Tony Fossas","reds"
"Latin American Field Coordinator","Joel Noboa","reds"
"Roving Outfield/Baserunning Instructor","Billy Hatcher ","reds"
"Roving Catching Instructor","Corky Miller","reds"
"Mental Skills Coach","Frank Pfister","reds"
"Executive Vice President & General Manager","Neal Huntington","pirates"
"Vice President - Assistant General Manager","Kyle Stark","pirates"
"Assistant General Manager","Kevan Graves","pirates"
"Senior Director - Baseball Informatics","Dan Fox","pirates"
"Senior Advisor - Baseball Operations","Nick Leyva","pirates"
"Director - Personnel","Chris Johnson","pirates"
"Director - Baseball Operations","Will Lawton","pirates"
"Baseball Operations Assistant","Trey Rose","pirates"
"Senior Director - Amateur Scouting","Joe DelliCarri","pirates"
"Director - Pro Scouting","Steve Williams","pirates"
"Director - International Scouting","Junior Vizcaino","pirates"
"Assistant Director - Amateur Scouting","Mike Mangan","pirates"
"Coordinator - Amateur Scouting","Matt Skirving","pirates"
"Special Assistant to the General Manager","Ron Hopkins","pirates"
"Special Assistant to the General Manager","Sean McNally","pirates"
"Special Assistant to the General Manager","Jax Robertson","pirates"
"Special Assistant to the General Manager","Matt Ruebel","pirates"
"Special Assistant to the General Manager","Greg Smith","pirates"
"Special Assistant to the General Manager","Doug Strange","pirates"
"Special Assistant to the General Manager - Cultural Initiatives","Mike Gonzalez","pirates"
"Special Assistant - Baseball Operations","Jeff Banister","pirates"
"Special Assistant - Baseball Operations","Jamey Carroll","pirates"
"Special Assistant - Baseball Operations","David Eckstein","pirates"
"Special Assistant - Baseball Operations","Scott Elarton","pirates"
"Special Assistant - Baseball Operations","Grady Little","pirates"
"Special Assistant - Baseball Operations","Kevin Young","pirates"
"Major League Advance Scout","Mike Basso","pirates"
"Major League Scout","Ricky Bennett","pirates"
"Pro Scout","Carlos Berroa","pirates"
"Major League Advance Scout","Jim Dedrick","pirates"
"Pro Scout","Rodney Henderson","pirates"
"Pro Scout","Andrew Lorraine","pirates"
"Major League Scout","Bob Minor","pirates"
"Pro Scout","Alvin Rittman","pirates"
"Pro Scout","Everett Russell","pirates"
"Pro Scout","Gary Varsho","pirates"
"Scouting Assistant","John Birkbeck","pirates"
"Scouting Assistant","Matt Taylor","pirates"
"National Supervisor","Jack Bowen","pirates"
"National Supervisor","Jimmy Lester","pirates"
"Regional Supervisor","Jesse Flores","pirates"
"Regional Supervisor","Trevor Haley","pirates"
"Regional Supervisor","Sean Heffernan","pirates"
"Assistant Director - International Scouting","Max Kwan","pirates"
"Coordinator - International Scouting","Matt Benedict","pirates"
"Traveling Secretary","Greg Johnson","pirates"
"Developer - Baseball Informatics","Brian Hulick","pirates"
"Analyst - Baseball Informatics","Andrew Gibson","pirates"
"Data Architect - Baseball Informatics","Matt Reiersgaard","pirates"
"Quantitative Analyst","Joe Douglas","pirates"
"Quantitative Analyst","Justin Newman","pirates"
"Senior Director - Minor League Operations","Larry Broadway","pirates"
"Assistant Director - Minor League Operations","Brian Selman","pirates"
"Coordinator - Minor League Operations","TJ Large","pirates"
"Senior Field Coordinator","Brad Fischer","pirates"
"Assistant Field Coordinator","Bobby Scales","pirates"
"Senior Pitching Coordinator","Scott Mitchell","pirates"
"Infield Coordinator","Gary Green","pirates"
"Hitting Coordinator","Larry Sutton","pirates"
"Coordinator - Instruction/GCL Manager","Dave Turgeon","pirates"
"Latin American Field Coordinator","Mendy Lopez","pirates"
"Latin American Pitching Coordinator","Amaury Telemaco","pirates"
"Senior Advisor - Latin American Operations","Luis Silverio","pirates"
"Assistant Pitching Coordinator","Tom Filer","pirates"
"Senior Advisor - Player Development","Woody Huyke","pirates"
"Senior Advisor - Player Development","Mike Lum","pirates"
"Senior Advisor - Dominican Summer League","Cecilio Beltre","pirates"
"Director - Mental Strength","Bernie Holliday","pirates"
"Director - Cultural Initiatives","Hector Morales","pirates"
"Mental Strength Coordinator","Tyson Holt","pirates"
"Director - Sports Nutrition and Fueling","Allison Maurer","pirates"
"Sports Science Coordinator","Brendon Huttmann","pirates"
"Strength & Conditioning Coordinator","Joe Hughes","pirates"
"Senior Coordinator - Rehab & Athlete Development","A.J. Patrick","pirates"
"Medical Services Coordinator","Carl Randolph","pirates"
"Director - Sports Medicine","Todd Tomczyk","pirates"
"Head Major League Athletic Trainer","Bryan Housand","pirates"
"Assistant Major League Athletic Trainer","Ben Potenziano","pirates"
"Physical Therapist","Kevin Otis Fitzgerald","pirates"
"Physical Therapist","Seth Steinhauer","pirates"
"Strength Coach","Jim Malone","pirates"
"Home Clubhouse Manager","Scott Bonnett","pirates"
"Assistant Equipment Manager","Kiere Bulls","pirates"
"Visiting Clubhouse Manager","Kevin Conrad","pirates"
"Team Video Coordinator","Kevin V. Roach","pirates"
"Video Assistant","Brett Gilliland","pirates"
"Minor League Video Coordinator","Ryan Gaynor","pirates"
"Video Advance Scout","Joe Hultzen","pirates"
"Interpreter","Mark Kim","pirates"
"President of Baseball Operations","John Mozeliak","cardinals"
"Vice President & General Manager","Mike Girsch","cardinals"
"Senior Executive Assistant to the President of Baseball Operations","Linda Brauer","cardinals"
"Assistant General Manager","Moises Rodriguez","cardinals"
"Assistant General Manager & Director of Scouting","Randy Flores","cardinals"
"Sr. Special Assistant to the GM","Bob Gebhard","cardinals"
"Special Assistant to the GM","Ryan Franklin","cardinals"
"Special Assistant to the GM","Matt Slater","cardinals"
"Director - Player Development","Gary LaRocque","cardinals"
"Director - Baseball Administration","John Vuch","cardinals"
"Director of Performance","Robert Butler","cardinals"
"Director - International Operations","Luis Morales","cardinals"
"Director - Baseball Development","Dane Sorensen","cardinals"
"Director - Baseball Analytics & Systems","Jeremy Cohen","cardinals"
"Director - Major League Administration","Judy Carpenter-Barada","cardinals"
"Manager - Player Communications","Melody Yount","cardinals"
"Manager - Professional Scouting","Jared Odom","cardinals"
"Manager - Scouting Analytics","Matthew Bayer","cardinals"
"Manager - Baseball Systems","Patrick Casanta","cardinals"
"Administrator Minor League Operations","Tony Ferreira","cardinals"
"Professional Scout","Chris Bourjos","cardinals"
"Professional Scout","Brian Hopkins","cardinals"
"Professional Scout","Jeff Ishii","cardinals"
"Professional Scout","Aaron Klinec","cardinals"
"Professional Scout","Deric McKamey","cardinals"
"Professional Scout","Ricky Meinhold","cardinals"
"Professional Scout","Craig Richmond","cardinals"
"Professional Scout","Joe Rigoli","cardinals"
"Professional Scout","Kerry Robinson","cardinals"
"Senior Developer","Brian Seyfert","cardinals"
"Analyst - Baseball Development","Javier Duren","cardinals"
"Analyst - Baseball Development","Kevin Seats","cardinals"
"Analyst - Baseball Development","Julia Prusaczyk","cardinals"
"Baseball Analyst","Garrett Greenwood","cardinals"
"Data Engineer","Isaiah Berg","cardinals"
"Amateur Scouting Coordinator/Analyst","Tyler Hadzinsky","cardinals"
"Coordinator - International Operations","Joseph Quezada","cardinals"
"Baseball Development Analyst - Player Development & Performance","Emily Wiebe","cardinals"
"Senior Vice President - Baseball Operations","Josh Byrnes","dodgers"
"Vice President & Assistant General Manager","Brandon Gomes","dodgers"
"Vice President & Assistant General Manager","Jeffrey Kingston","dodgers"
"Vice President - Amateur & International Scouting","David Finley","dodgers"
"Vice President - International Scouting","Ismael Cruz","dodgers"
"Director - Player Personnel","Galen Carr","dodgers"
"Director - Amateur Scouting","Billy Gasparino","dodgers"
"Director of Specialized Performance Programs","Eric Potterat","dodgers"
"Director - Baseball Administration","Ellen Harrigan","dodgers"
"Director - Team Travel","Scott Akasaki","dodgers"
"Director - Baseball Development and Scouting","Alex Slater","dodgers"
"Director - Baseball Resources ","Duncan Webb","dodgers"
"Director - Quantitative Analysis","Scott Powers","dodgers"
"Director - Quantitative Research","Daniel Cervone","dodgers"
"Director - Player Development","William Rhymes","dodgers"
"Assistant Director - Minor League Operations","Matt McGrath","dodgers"
"Senior Advisor - Baseball Operations","Gerry Hunsicker","dodgers"
"Special Assistant to the GM","Pat Corrales","dodgers"
"Special Assistant to the General Manager","Raul Ibanez","dodgers"
"Special Assistant - Baseball Operations","Joel Peralta","dodgers"
"Scouting Supervisor - Latin America","Luis Marquez","dodgers"
"Special Assistant - Player Personnel","Jose Vizcaino","dodgers"
"Senior Scouting Advisor - Dominican Republic","Ralph Avila","dodgers"
"Manager - Research and Development","Megan Schroeder","dodgers"
"Manager - Baseball Systems","Brian McBurney","dodgers"
"Senior Developer II - Baseball Systems","Jonathan Funkhouser","dodgers"
"Technical Lead - Baseball Systems","John Focht","dodgers"
"Senior Analyst II - Performance Science","James Buffi","dodgers"
"Senior Analyst - Performance Science","David Hill","dodgers"
"Senior Analyst - Baseball Analytics","Philip Cho","dodgers"
"Coordinator - Strong Mind Program","A.J. Lalonde","dodgers"
"Minor League Medical Coordinator","Kevin Orloski","dodgers"
"Minor League Performance Coordinator","Brian Stoneberg","dodgers"
"Field Coordinator","Clayton McCullough","dodgers"
"Manager - Minor League Administration","Adriana Urzua","dodgers"
"Manager - Dodger Clubhouse","Alex Torres","dodgers"
"Manager - Visiting Clubhouse","Mitch Poole","dodgers"
"Manager - Umpires Clubhouse","Jerry Turner","dodgers"
"Clubhouse Assistant Manager","Jose Castillo","dodgers"
"Senior Data Engineer","Drew Troxell","dodgers"
"Developer - Baseball Systems","Kai-Tang Chang","dodgers"
"Coordinator - Baseball Analytics","Ben Zauzmer","dodgers"
"Senior Analyst - Performance Science","Emilee Fragapane","dodgers"
"Coordinator - Baseball Operations","Ethan Levitt","dodgers"
"Coordinator - Baseball Contracts & Finance","Albert Gilbert","dodgers"
"Coordinator - Professional Scouting","Lucas Geoghegan","dodgers"
"Senior Analyst - Performance Science","Jason Gilberg","dodgers"
"Senior Quantitative Analyst","Nicholas Kapur","dodgers"
"Senior Quantitative Analyst","Jacob Coleman ","dodgers"
"Quantitative Analyst","Yuji Akimoto","dodgers"
"Quantitative Analyst","Eric Weine","dodgers"
"Analyst - Baseball Operations","Michael Voltmer","dodgers"
"Analyst - Baseball Operations","Craig Weinhaus","dodgers"
"Developer - Baseball Systems","Ryan Casey","dodgers"
"Assistant Director - Amateur Scouting","Zachary Fitzpatrick","dodgers"
"Major League Video/Replay Coordinator","John Pratt","dodgers"
"Manager - International Scouting","Francisco J. Camps","dodgers"
"Video Coordinator","Chad Chop","dodgers"
"Major League Video/Replay Coordinator","Jonathan Rhymes","dodgers"
"Coordinator - Player Development","Andrew MacPhail","dodgers"
"Assistant - Player Development","Eric Jordan","dodgers"
"Assistant - Player Development","James Weilbrenner","dodgers"
"Coordinator - Performance Science","Joe Harrington","dodgers"
"Assistant - Baseball Operations","Jamie Short","dodgers"
"Interpreter","Bryan Lee","dodgers"
"Interpreter","Iwamoto Takuro","dodgers"
"Vice President - Assistant General Manager","Fred Uhlman - Jr.","padres"
"Senior Advisor/Director of Player Personnel","Logan White","padres"
"Assistant General Manager","Josh Stein","padres"
"Special Assistant to the General Manager","James Keller","padres"
"Special Assistant to the General Manager","Andrew Ellis","padres"
"Advisor to Baseball Operations","Allen Craig","padres"
"Scouting Crosschecker - Advisor to Baseball Operations","Luke Murton","padres"
"Director - Baseball Operations","Nick Ennis","padres"
"Director - Baseball Information Services","Matt Klotsche","padres"
"Director - Player & Staff Services","TJ Lasita","padres"
"Director - Player Heath and Performance","Don Tricker","padres"
"Director - Baseball Systems","Wells Oliver","padres"
"Developer - Baseball Systems","Garret Doe","padres"
"Director - Baseball Research & Development","Adam Esquer","padres"
"Manager - Baseball Research & Development","Tristan Sandler","padres"
"Senior Analyst","Dave Cameron","padres"
"Analyst - Baseball Research & Development","Nathan Landau","padres"
"Analyst - Baseball Research & Development","Cody Zupnick","padres"
"Assistant Director - Baseball Operations","David Longley","padres"
"Manager - Baseball Administration and Special Assistant to the General Manager","Michaelene Courtis","padres"
"Baseball Operations Fellow","Samantha Schultz","padres"
"Coordinator - Player Development and Research & Development","Rohanna Pacheco","padres"
"Coordinator - Baseball Operations","Brett Becker","padres"
"Coordinator - Video Scouting & Baseball Operations","Max Kraust","padres"
"Head Athletic Trainer","Mark Rogow","padres"
"Major League - Assistant Athletic Trainer","Kevin Pillifant","padres"
"Major League - Assistant Athletic Trainer","Michael Salazar","padres"
"Physical Therapist","Scott Hacker","padres"
"Massage Therapist","Atsushi Nakasone","padres"
"Senior Director - Player Development","Sam Geaney","padres"
"Director - Player Development","Ben Sestanovich","padres"
"Coordinator - Video Scouting & Player Development Video Operations","Ethan Dixon","padres"
"Coordinator - English Instruction","Kaitlyn Teske","padres"
"Director - Amateur Scouting","Mark Conner","padres"
"Director - International Scouting","Chris Kemp","padres"
"Director - Pacific Rim Operations","Acey Kohrogi","padres"
"Director - Professional Scouting","Pete DeYoung","padres"
"Special Assistant - Player Development","Skip Schumaker","padres"
"Special Assistant - Player Development","Steve Finley","padres"
"Special Assistant - Scouting","David Post","padres"
"Special Assignment Advisor - Scouting & Player Development","Steve Lyons","padres"
"Manager - ML Advance Scouting & Video Operations","Patrick Coghlan","padres"
"Manager - Amateur Scouting","Sam Ray","padres"
"Coordinator - Amateur Scouting & Baseball Operations","Layne Gross","padres"
"Manager - Clubhouse & Equipment","Spencer Dallin","padres"
"Assistant Equipment Manager & Umpire Room Attendant","Tony Petricca","padres"
"Manager - Visitors Clubhouse","TJ Laidlaw","padres"
"Manager - Peoria Clubhouse","Zach Nelson","padres"
"Manager - Peoria Operations & Spring Training","Todd Stephenson","padres"
"Coordinator - Major League Nutrition Services","Jason Cook","padres"
"Clubhouse Assistant - Home","James Bigler","padres"
"Clubhouse Assistant - Home","Josh Vernetti","padres"
"Clubhouse Assistant - Peoria","Kyle Ross","padres"
"President - Baseball Operations","Farhan Zaidi","giants"
"Senior Advisor to the President of Baseball Operations","J.P. Ricciardi","giants"
"Senior Advisor to the President of Baseball Operations","Dick Tidrow","giants"
"Senior Advisor to the President of Baseball Operations","John Barr","giants"
"Vice President and Assistant General Manager","Jeremy Shelley","giants"
"Vice President of Baseball Operations","Yeshayah Goldfarb","giants"
"Director of Pro Scouting","Zack Minasian","giants"
"Director of Amateur Scouting","Michael Holmes","giants"
"Director of International Scouting","Joe Salermo","giants"
"Special Assistant - Scouting","Craig Weissmann","giants"
"Director of Player Development","Kyle Haines","giants"
"Special Assistant to Baseball Operations","Felipe Alou","giants"
"Special Assistant to Baseball Operations","Dave Righetti","giants"
"Executive Assistant - Baseball Operations & Administration","Karen Sweeney","giants"
"Director of Baseball Analytics","Paul Bien","giants"
"Director of Player Personnel Administration","Clara Ho-Frawley","giants"
"Director of Employee Assistance Program & Organizational Health","Michael Mombrea","giants"
"Director of Mental Skills","Derin McMains","giants"
"Senior Director of Application Development","Dan Quill","giants"
"Assistant Director of Amateur & Pro Scouting","Adam Nieting","giants"
"Assistant Director of Player Development Administration","Eric Flemming","giants"
"Manager of Arizona Baseball Operations","Gabe Alvarez","giants"
"Manager of International Operations","Jose Bonilla","giants"
"Manager of Baseball Video Systems","Yo Miyamoto","giants"
"Senior Baseball Operations Analyst","Michael Gries","giants"
"Baseball Operations Analyst","Michael Schwartze","giants"
"Baseball Operations Analyst","Brian Huey","giants"
"Baseball Operations Analyst","Jack McGeary","giants"
"Database Developer - Baseball Systems","Caleb Whang","giants"
"Application Developer","David Fujito","giants"
"Application Developer Specialist - Baseball Systems","Clark Downer","giants"
"Application Developer Specialist - Baseball Systems","Alex Case","giants"
"Coordinator of Education & Cultural Development","Laura Núñez","giants"
"Coordinator of Organizational Travel","Michael Scardino","giants"
"Senior Advisor to Baseball Operations","Tony Siegle","giants"
"Coordinator of Baseball Video Systems","Patrick Yount","giants"
"Assistant - Baseball Operations","Michael Navolio","giants"
"Dominican Republic Facilities Manager","Francis Mieses","giants"
"International Baseball Operations Administrator","Joan Cuevas","giants"
"Manager","Bruce Bochy","giants"
"Bench Coach","Hensley Meulens","giants"
"Pitching Coach","Curt Young","giants"
"Hitting Coach","Alonzo Powell","giants"
"Third Base Coach","Ron Wotus","giants"
"First Base Coach","Jose Alguacil","giants"
"Bullpen Coach","Matt Herges","giants"
"Assistant Hitting Coach","Rick Schu","giants"
"Asst. Coach & Vid. Replay Analyst","Shawon Dunston","giants"
"Bullper Catcher","Brant Whiting","giants"
"Batting Practice Pitcher","John Yandle","giants"
"Senior Director of Athletic Training","Dave Groeschner","giants"
"Head Team Physician","Dr. Anthony Saglimbeni","giants"
"Team Physician","Dr. Chris Chung","giants"
"Head Team Orthopedist","Dr. Ken Akizuki","giants"
"Team Orthopedist","Dr. Tim McAdams","giants"
"Head Athletic Trainer","Anthony Reyes","giants"
"Assistant Athletic Trainer","Eric Ortega","giants"
"Physical Therapist","Tony Reale","giants"
"Strength & Conditioning Coach","Brad Lawson","giants"
"Massage Therapist","Haro Ogawa","giants"
"Coordinator of Medical Admin","Chrissy Yuen","giants"
"Medical Consultant - Podiatry","Larry Oloff - D.P.M.","giants"
"Medical Consultant - Ophthalmology","Daniel Goodman - M.D.","giants"
"Medical Consultant - Chiropractor","Michael Gazdar - D.C.","giants"
"Medical Consultant - Dermatology","Dan Wall - M.D.","giants"
"Medical Consultant - Hand Surgeon","Scott Hansen - M.D.","giants"
"Medical Consultant - Dentist","Sam Thatcher - D.D.S.","giants"
"Medical Consultant - Internal Medicine","Erik Dean - D.O.","giants"
"Medical Consultant - Orthopedist","Michael Lee. M.D.","giants"
"Senior Director of Team Travel & Clubhouse Operations","Bret Alexander","giants"
"Senior Advisor - Home Clubhouse","Miguel Murphy","giants"
"Home Clubhouse Coordinator/Equipment Supervisor","Brad Grems","giants"
"Team Travel & Clubhouse Operations Assistant","James Uroz","giants"
"Home Clubhouse Chef","Matthew Shepard","giants"
"Umpire Room Services/Clubhouse Assistant","Brandon Evans","giants"
"Visiting Clubhouse Manager","Abe Silvestri","giants"
"Visiting Clubhouse Assistant","Gavin Cuddie","giants"
"Visiting Clubhouse Assistant","Mark Sagrafena","giants"
"Visiting Clubhouse Assistant","Nathan Alleyne","giants"
"Assistant Trainers","athletics","athletics"
"Alan Lee","giants","giants"
"President and CEO","Mark A. Shapiro","bluejays"
"President Emeritus","Paul Beeston","bluejays"
"Executive Vice President Baseball Operations and General Manager","Ross Atkins","bluejays"
"Executive Vice President Business Operations","Andrew Miller","bluejays"
"Executive Vice President Finance","Ben Colabrese","bluejays"
"Executive Assistant to the President and CEO","Gail Ricci","bluejays"
"Senior Vice President Player Personnel","Tony Lacava","bluejays"
"Vice President Baseball Operations    ","Ben Cherington","bluejays"
"Vice President International Scouting","Andrew Tinnish","bluejays"
"Assistant General Manager    ","Joe Sheehan","bluejays"
"Director Baseball Operations","Michael Murov","bluejays"
"Director Team Travel and Clubhouse Operations","Michael Shaw","bluejays"
"Assistant Director Research and Development    ","Sanjay Choudhury","bluejays"
"Assistant Director Baseball Operations","Jeremy Reesor","bluejays"
"Senior Manager Visiting Clubhouse     ","Kevin Malloy","bluejays"
"Senior Manager Baseball Administration    ","Heather Connolly","bluejays"
"Clubhouse Manager Operations    ","Scott Blinn","bluejays"
"Clubhouse Manager Equipment    ","Mustafa Hassan","bluejays"
"Coordinator Baseball Research    ","Adam Yudelman","bluejays"
"Assistant Baseball Research     ","Cal Aldred","bluejays"
"Assistant Baseball Research    ","Graydon Carruthers","bluejays"
"Assistant Baseball Research     ","Liam Stevenson","bluejays"
"Assistant Advance Scouting","John Babocsi","bluejays"
NA,"Megan Evans:  Assistant Player Development","bluejays"
"Assistant Pro Scouting and Baseball Operations","David Royer","bluejays"
"Fellow","Ginger Poulson","bluejays"
"Data Architect    ","Peter Saunders","bluejays"
"Baseball Systems Developer","Spencer Estey","bluejays"
"Bullpen Catcher    ","Alex Andreopoulos","bluejays"
"Major League Video Coordinator","Eric Slotter","bluejays"
NA,"Robert Baumander:  Video Advisor","bluejays"
"Executive Assistant to the General Manager","Anna Coppola","bluejays"
NA,"Hector Lebron:  Bilingual Player Interpreter","bluejays"
"Director Player Development    ","Gil Kim","bluejays"
"Director Minor League Operations    ","Charlie Wilson","bluejays"
"Assistant Director Player Development   ","Joe Sclafani","bluejays"
"Business Manager Minor League Operations    ","Michelle  Rodgers","bluejays"
"Assistant Player Development","Will Habib","bluejays"
"Coordinator Player Development","David Aardsma","bluejays"
"Pitching Coordinator    ","Jeff Ware","bluejays"
"Senior Pitching Advisor    ","Rick Langford","bluejays"
"Rehab Pitching Coordinator","Darold Knowles","bluejays"
"Hitting Coordinator    ","Hunter Mense","bluejays"
"Catching Coordinator    ","Ken Huckaby","bluejays"
"Infield Coordinator    ","Danny Solano","bluejays"
"Special Assistant to Player Development","Tim Raines","bluejays"
"Latin America Player Advisor    ","Omar Malave","bluejays"
"Equipment Coordinator  ","Billy Wardlow","bluejays"
"Video Coordinator Player Development   ","Ryan Monsevalles","bluejays"
"Minor League Performance and Development Analyst    ","Evan Short","bluejays"
"Director Pro Scouting    ","Ryan Mittleman","bluejays"
"Manager Baseball Operations and Pro Scouting","David Haynes","bluejays"
"Special Assignment Scout    ","Russ Bove","bluejays"
"Special Assignment Scout    ","Dean Decillis","bluejays"
"Major League Scout    ","Sal Butera","bluejays"
"Major League Scout    ","Jim Skaalen","bluejays"
"Professional Scout","Matt Anderson","bluejays"
"Professional Scout         ","Blake Bentley ","bluejays"
"Professional Scout ","Kevin Briand","bluejays"
"Professional Scout    ","Jeremy Gordon","bluejays"
"Professional Scout ","Mitch Leeds","bluejays"
"Professional Scout    ","Marc Lippman","bluejays"
"Professional Scout    ","David May Jr.","bluejays"
"Professional Scout","Tim Rooney","bluejays"
NA,"Hideaki Sato:  Pacific Rim Scout","bluejays"
NA,"Carson Cistulli: Coordinator Player Personnel","bluejays"
NA,"Jon Lalonde:  Coordinator Player Personnel","bluejays"
"Coordinator Player Personnel","Nick Manno","bluejays"
NA,"Brent Urcheck:  Coordinator Player Personnel","bluejays"
NA," Matt Hague:  Fellow Pro Scouting","bluejays"
"Director Amateur Scouting  ","Steve Sanders","bluejays"
"Manager Amateur and International Scouting","Harry Einbinder","bluejays"
"Coordinator Amateur Scouting    ","Kory Lafreniere","bluejays"
"National Supervisor    ","Blake Crosby","bluejays"
"Regional Crosschecker","Matt Bishoff","bluejays"
"Regional Crosschecker    ","C.J. Ebarb Jr.","bluejays"
"Regional Crosschecker    ","Jamie Lehman","bluejays"
"Regional Crosschecker    ","Michael Youngberg","bluejays"
"Amateur Crosschecker      ","Paul Tinnell","bluejays"
"Amateur and International Crosschecker    ","Brian Johnstron","bluejays"
"Scout - Euless TX","Gerald Turner","bluejays"
"Area Scout - Fountain Valley CA    ","Joey Aversa","bluejays"
"Area Scout - Milford OH    ","Coulson Barbiche Jr.","bluejays"
NA,"Jason Beverlin:  Area Scout - Greensboro NC","bluejays"
NA,"Brandon Bishoff:  Area Scout - Tampa FL","bluejays"
"Area Scout - Springdale AR    ","Dallas Black","bluejays"
"Area Scout - Phoenix AZ    ","Darold Brown","bluejays"
"Area Scout - Harrisburg PA    ","Tom Burns","bluejays"
"Area Scout - Houston TX  ","Chris Curtis","bluejays"
"Area Scout - Yakima WA    ","Ryan Fox","bluejays"
"Area Scout - Boston MA    ","Pete Holmes","bluejays"
"Area Scout - Chicago IL  ","Matt Huck","bluejays"
"Area Scout - Aptos CA    ","Randy Kramer","bluejays"
"Area Scout - San Clemente CA    ","Jim Lentine","bluejays"
"Area Scout - Bowling Green KY    ","Nate Murrie","bluejays"
"Area Scout - Hoover AL    ","Don Norris","bluejays"
"Area Scout - Clermont FL    ","Matt O'Brien","bluejays"
"Area Scout - Clive IA    ","Wes Penick","bluejays"
"Area Scout - Dallas TX   ","Max Semler","bluejays"
"Area Scout - Lakewood CA    ","Bud Smith","bluejays"
"Area Scout - Statesboro GA    ","Mike Tidick","bluejays"
"Amateur Scouting Video Coordinator","Kyle Fleming","bluejays"
"Amateur Scouting Video Coordinator     ","Manny Padron","bluejays"
"Canadian Scouting - St. Thomas ON     ","Adam Arnold","bluejays"
"Canadian Scouting - London ON    ","Jay Lapp","bluejays"
"Canadian Scouting - Longueuil QC","Jasmin Roy","bluejays"
" Director Latin American Operations    ","Sandy Rosario","bluejays"
"Assistant International Scouting","Julio Ramirez","bluejays"
"Supervisor Mexican Scouting   ","Aaron Acosta","bluejays"
" Supervisor Venezuelan Scouting","Jose Contreras","bluejays"
"Supervisor Dominican Scouting   ","Lorenzo Perez","bluejays"
"International Scouting - Caracas VZ    ","Franklin Briceno","bluejays"
"International Scouting - Santo Domingo DR    ","Alexis de la Cruz","bluejays"
"International Scouting - Santo Domingo DR    ","Luciano del Rosario","bluejays"
"International Scouting - Barcelona VZ   ","Oscar Delgado","bluejays"
"International Scouting - Santo Domingo DR    ","Fausto Espinosa","bluejays"
"International Scouting - Cartagena COL","Enrique Falcon","bluejays"
"International Scouting - Mao DR    ","Jhoan Gomez","bluejays"
"International Scouting - Barquisimeto VZ ","Miguel Leal","bluejays"
NA,"Alirio Ledezma:  International Scouting - Barquisimeto VZ   ","bluejays"
"International Scouting - San Pedro de Macoris DR    ","Luis Natera","bluejays"
"International Scouting - Aragua VZ    ","Francisco Plasencia","bluejays"
"International Scouting - Santo Domingo DR    ","Eric Ramirez","bluejays"
"International Scouting - Managua NIC    ","Daniel Sotelo","bluejays"
"International Scouting - Colon PAN    ","Alex Zapata","bluejays"
"Vice President Corporate Partnerships","Mark Ditmars","bluejays"
"Director Business Development","John Griffin","bluejays"
"Director Corporate Partners","David O'Reilly","bluejays"
