Position Title,Name,Organization
Quantitative Analyst,Mike Czahor,phillies

Quantitative Analyst,Kiri Oler,phillies

Quantitative Analyst,Hannah Gaudet,phillies

Quantitative Analyst,Ryan Plunkett,phillies

Software Engineer,Marcus Wyche,phillies

Software Engineer,Chris Schlitt,phillies

Software Engineer,Jonathan Chemburkar,phillies

phillies

Manager - Clubhouse Services,Phil Sheridan,phillies

Manager - Equipment & Umpire Services,Dan O'Rourke,phillies

Manager - Visiting Clubhouse,Kevin Steinhour,phillies

Home Clubhouse Assistant,Sean Bowers,phillies

Director - Video Coaching Services,Kevin Camiscioli,phillies

Coordinator - Video Coaching,Marc Sigismondo,phillies
