Position Title,Name,Organization
David Marshall,Analyst - Baseball Research and Development,rays

Taylor Smith,Analyst - Baseball Research and Development,rays

Keegan Henderson, Junior Analyst - Baseball Research & Development,rays

Salem Marrero, Junior Analyst - Baseball Research & Development,rays

Jason Pellettiere,Junior Analyst - Baseball Research and Development,rays

Brad Ballew,Assistant - Baseball Development,rays

Tyler Chamberlain-Simon,Assistant - Baseball Operations,rays

George Pappas,Assistant - International and Minor League Operations,rays

Vishnu Sarpeshkar,Assistant - Performance Science,rays

Danielle Dockx,Fellow - Baseball Operations,rays

Mark Watson,Fellow - Baseball Operations,rays

Jay Shindo, Consultant - Pacific Rim Operations,rays

Giovanna Rodriguez, Administrator - International and Minor League Operations,rays

Sydney Malone, Administrator - Amateur Scouting,rays

Dr. James Andrews, Medical Director,rays

Dr. Koco Eaton, Orthopedic Team Physician,rays

Dr. Christopher Williams, Team Chiropractor,rays

Ray Allen, Massage Therapist,rays

Joe Benge, Head Athletic Trainer,rays

Mark Vinson, First Assistant Athletic Trainer,rays

Mike Sandoval , Assistant Athletic Trainer,rays

Paul Harker, Major League Medical Coordinator,rays

Trung Cao, Major League Strength and Conditioning Coach,rays

Joe Greany, Major League Strength and Conditioning Assistant,rays

Ryan Harmon, Lead Sport Dietitian,rays

Kate Martinez,Assistant - Dietitian,rays

Brett Ebers, Video Coordinator,rays

Chris Fernandez , Video Coordinator,rays

Ryan Denlinger, Home Clubhouse Manager,rays

Tyler Wall, Home Equipment Manager,rays

Ryan Riddle, Assistant Home Clubhouse Manager,rays

Guy Gallagher, Visitor Clubhouse Manager,rays

orioles

Director - Team Travel,Kevin Buck,orioles

Manager - Major League Video Operations,Mike Silverman,orioles

Manager - Advance Scouting Operations,Bill Wilkes,orioles

Coordinator - Major League Video/Advance Scouting,Ben Sussman-Hyde,orioles

Major League Video/Advance Scouting Assistant,Ryan Klimek,orioles

Baseball Operations Assistant,Chad Tatum,orioles

twins

Special Assistant to Baseball Operations,Michael Cuddyer,twins

Special Assistant to Baseball Operations,LaTroy Hawkins,twins

Special Assistant to Baseball Operations,Torii Hunter,twins

Special Assistant to Baseball Operations,Justin Morneau,twins

Director - Baseball Operations,Daniel Adler,twins

Director - Professional Scouting,Brad Steil,twins

Director - Minor League Operations,Jeremy Zoll,twins

Director - Baseball Video and Technology,Sean Harlin,twins

Director - Baseball Administration,Kate Townley,twins

Director - Scouting,Sean Johnson,twins

Director - Team Travel,Mike Herman,twins

Senior Advisor - Scouting,Deron Johnson,twins

Assistant Director - Player Development,Alex Hassan,twins

Assistant Director - Baseball Operations,Nick Beauchamp,twins

Analyst - Player Development,Rachel Heacock,twins

Minor League Field Coordinator , Edgar Varela,twins

Pro Scouting Coordinator,Vern Followell,twins

Senior Manager - International Administration and Education,Amanda Daley,twins

Senior Manager - Minor League Operations,Brian Maloney,twins

Manager - Florida Operations,Victor Gonzalez,twins

Assistant Manager - Florida Operations,Jason Davila,twins

Coordinator - Amateur Scouting,Brittany Minder,twins

Coordinator - Major League Video,David Jeffrey,twins

Coordinator - Amateur Scouting R&D,Ezra Wise,twins

Coordinator - Professional Scouting R&D,Zane MacPhee,twins

Assistant - Florida and Latin American Operations,Rafael Yanez,twins

Assistant - Florida Operations , Brad McKenney,twins

Advance Scout,Frankie Padulo,twins

Analyst - Advance Scouting,Josh Ruffin ,twins

Assistant Advance Scout/Replay Coordinator,Corey Baker,twins

Senior Analyst - Baseball Research and Development,Josh Kalk,twins

Analyst - Baseball Research,Heather Hunt,twins

Analyst - Baseball Research,Andrew Ettel,twins

Analyst - Baseball Research,Kevin Wright,twins

indians

 Carter Hawkins,Assistant General Manager,indians

 Matt Forman,Assistant General Manager,indians

 Mike Seghi,Director - Team Travel,indians

 Wendy Hoppel,Director - Baseball Administration,indians

 Keith Woolner,Principal Data Scientist - Baseball Analytics,indians

 Paul Gillispie,Senior Director - International Scouting,indians

 John Mirabelli,Senior Director - Scouting Operations,indians

 Scott Barnsby,Director - Amateur Scouting,indians

 Josh Gibson,Director - Learning and Development,indians

 James Harris,Director - Player Development,indians

 Alex Merberg,Director - Baseball Operations,indians

 Victor Wang,Director - Pro Scouting,indians

